A2ML1,ABCB1,ABCC2,ABCG5,ABCG8,ABLIM2,ACKR3,ACTC1,ADAMTSL2,ADRA2C,AGR2,AGR3,AIM1L,AIM2,ALDH4A1,ALDH5A1,ANGPT2,ANKEF1,ANKRD37,APCDD1,APOLD1,ARHGAP11A,ARHGAP11B,ARHGAP44,ARHGEF28,ARHGEF4,ASIC2,ASRGL1,ASXL1,ATF4,ATF7IP2,ATP1A1,ATP6V1H,B3GALT5,BAMBI,BARX2,BATF,BBC3,BCL2L10,BCL2L15,BICD1,BMP2,BMP7,BMPER,BUB1B,C17orf97,C19orf26,C2orf61,C4BPB,C6orf15,CA1,CA9,CACNG4,CALB1,CALB2,CARS2,CASP10,CCDC89,CD200,CDKN1C,CEACAM3,CECR2,CELF5,CENPF,CEP152,CERS4,CES1,CHMP7,CHP2,CHST4,CKMT2,CLCN4,CLDN16,CLDN2,CLGN,CLIC3,CLSTN2,CLYBL,CMPK2,COCH,COMMD9,CPN1,CRAT,CREB3L1,CREG2,CRELD1,CRYL1,CRYM,CTAGE15,CTSA,CTSE,CWH43,CXorf40A,CYP2W1,CYP4F11,DDX11,DEFA6,DEFB1,DLX3,DMBT1,DNAH3,DNAH5,DOC2A,DPEP1,DSG3,DUSP27,DUSP4,EDA,EEF1A2,EFHD1,EFNA2,EFNA5,EFR3B,EGF,EGLN3,EGR1,EGR3,EIF2S2,EIF5AL1,ELAVL2,ELFN2,EPHA4,EPHB1,EPSTI1,ETNK2,EXTL3,EZR,FABP2,FAM110C,FAM83C,FANCI,FAS,FBXO17,FCGBP,FCHO1,FFAR2,FFAR4,FGF20,FGGY,FKRP,FN1,FOXD2,FOXO6,FREM1,FRMPD3,FSTL4,FYN,GABRB3,GABRR1,GAD1,GAL,GDF11,GID8,GJB5,GK,GLB1,GLDC,GNE,GNG4,GPKOW,GRAP,GREB1L,GRHL3,GRK1,GRM8,GSKIP,GSS,GYLTL1B,HAVCR1,HCAR1,HEXIM1,HID1,HILPDA,HIST1H2BC,HMGCS2,HOXB8,HOXD9,HS6ST1,HSPA4,IFIT3,IGF2,IGF2BP3,IHH,IL1RL2,INHBB,IRX5,IZUMO2,KCNH4,KCNJ11,KCNJ3,KCNS3,KCTD15,KHDRBS3,KIAA1324L,KIAA1549L,KLHL13,KLK10,KLK11,KLK8,KNSTRN,KRT18,KRT6B,KRT80,KRTAP5-5,KRTAP5-8,LAMA5,LDHB,LDHD,LDLRAD3,LGR6,LINC00675,LINC01207,LIPT2,LONRF3,LRP12,LRRC10B,LRRC26,LRRIQ4,LY6G6C,LY6G6D,LYPD6B,MAGEA4,MAP3K1,MAP7D2,MB,MED11,MED30,MEP1A,MEX3A,MLANA,MPC1,MRAP2,MSLN,MSX2,MT1E,MTG2,MTM1,MTTP,MUC16,MUC17,MUC4,MX2,MYADML2,MYH15,MYO1D,MYRF,MYRIP,NAV1,NDNF,NDRG1,NEK3,NES,NKD1,NKD2,NMNAT3,NNT,NODAL,NOTUM,NPC1L1,NQO1,NR2F1,NRXN3,NT5DC4,NT5E,NUTM2F,NXF3,NXPE4,NXPH3,OAS2,OTC,OTX1,OXCT2,OXGR1,P3H2,PAX6,PAX9,PCDHA4,PCSK4,PCSK9,PDE4C,PDE6A,PDZD3,PDZK1IP1,PERM1,PID1,PIGU,PIGZ,PKDCC,PLA2G12B,PLA2G3,PLCE1,PLEKHN1,POFUT1,PPP1R36,PPP2R2C,PRAC1,PRKAA2,PRKCQ,PRLR,PRPF6,PRRT2,PRSS33,PTGER2,PTPRO,PTPRR,QPRT,RAB20,RAB2A,RAET1L,RASL10B,REEP1,REG3A,REG4,RGMB,RHBDL2,RNF182,RNF223,RPS4X,RPS6KA6,RPSAP58,S100A4,SAMHD1,SBSPON,SCEL,SCUBE3,SDR16C5,SESN1,SFTA2,SHISA6,SHISA9,SHOX,SLC13A2,SLC13A3,SLC16A14,SLC17A9,SLC1A7,SLC25A41,SLC26A11,SLC26A2,SLC28A3,SLC29A4,SLC2A1,SLC30A2,SLC38A4,SLC3A2,SLC40A1,SLC44A5,SLC6A4,SLC7A5,SLCO1B3,SLITRK6,SOX14,SOX6,SOX8,SPACA3,SPAG1,SPDEF,SPTBN1,ST3GAL4,STK33,STRA6,SUGCT,SYNE4,TACSTD2,TAP2,TAS1R3,TAZ,TCEAL1,TDGF1,TERT,TESC,TFF1,THRB,TLDC1,TM4SF20,TMEM176A,TMEM176B,TMEM211,TMEM229B,TMEM236,TNFRSF10A,TNNC2,TNNI3,TOMM34,TRIM54,TRIM58,TRIM7,TRIM71,TRPS1,TTBK1,TTPA,TUBB3,TUBGCP3,UBAC2,UGT2B15,URAD,VAV3,VIP,VNN2,VPS16,VSTM2L,VWDE,WBSCR27,WNT10A,WWC1,XAF1,XCL1,XPNPEP2,XRRA1,YARS2,ZBED9,ZDHHC19,ZIC2,ZNF177,ZNF256,ZNF280B,ZNF285,ZNF486,ZNF541,ZNF549
0.0,0.0,-0.008684713653560126,0.39365486375056563,0.18139598701160436,0.0,0.0,0.0,0.0,0.0,0.18468033011481508,0.22466239837481194,0.0,0.0,-0.41740630453305566,0.0,0.0,0.0,0.6721401296167319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514077382641558,-0.09314533420842744,0.0,0.0,0.0,0.0,0.0,0.0,0.25079321890625184,0.0,0.0,0.0,0.0,0.0,0.4289135165568439,0.0,0.0,0.0,0.0,0.0,0.0,0.24949394211376566,0.0,0.0,0.015952534288032772,0.0,0.0,0.0,-0.19931953261008134,0.0,0.0,0.0,0.0,0.10922992422623266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735109927771292,-0.9000048362468402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3719351696300191,0.0,0.0,0.0,0.03565536158080704,0.0,0.0,0.3994459810038248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11675561255742072,0.0,0.0,0.0,-0.002773044080010606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379605788344393,0.0,0.0,0.1517704196435294,0.0,0.0,-0.15683942508726278,0.0,-0.02198822495602563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16735449043276687,0.0,0.0,0.0,0.09972252007279439,0.0,0.35828206001519086,0.0,0.21565002460886024,0.6418092208471162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033470121269574236,0.0,0.0,0.0,0.0,0.0,-0.176802267062796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027346699255767392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18274166360418787,0.0,0.0,0.0,0.0,0.0,0.0,0.05896622637204361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03577694255379665,0.0,0.22504414073152246,0.2527728445014513,0.0,0.0,0.0,0.0,0.23891653336655536,0.29960199171846447,0.0,-0.3136053484258039,0.7547578180250581,0.0,0.0,0.0,0.26058976455665844,0.08603592808008302,0.0,0.0,0.0,0.0,0.0,0.928508580105208,0.0,0.0,0.0,-0.1459357088291006,0.0,0.0,0.0,0.0,0.05294599811665143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40270807324297786,-0.5127440520210514,0.0,0.0,0.0,-0.1001414687683489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983427590548137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29377832254346564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3144025668222717,0.0,0.0,-0.19695756476296086,0.0,0.0,0.0,0.0,0.0,0.0,-0.4751410056529373,0.0,0.0,0.3391153940238688,0.0,0.0,-0.642382380783989,0.0,0.0,0.0,0.0,0.0,0.0,0.23265100231622216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15028769722055962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048587899494106135,0.0,0.0,-0.7004938791509195,-0.3718134534146114,0.0,0.6332243468917154,0.0,0.0,0.0,0.0,0.0,0.20993219505235233,0.0,0.6218086487678854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13206670675480833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07459747672522435,0.0,-0.23467960796496765,0.0,0.0,0.09316893582026219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38787516080448164,0.0,0.0,0.0,0.019903328123472785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38195765526289244,0.0,0.0,0.0,0.0,0.0,0.0,0.4174564111603732,0.0,0.0,0.0,0.0,0.11952764274679151,0.1645710872236987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004512443027181881,0.1432013205527851,0.0,0.0,0.0,0.0,-0.5310620338819558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1382570668826592,0.0,0.0,0.09290018686082205,0.0,0.0,0.0,0.040733342715033864,0.0,0.0,0.0,0.0,0.6365947007654881,0.0,0.0,0.0,0.4107490924746015,0.3155224765815491,0.0,0.0,0.0,-0.028099980983321417,0.0,0.0,0.0,0.0,0.03460535269873447,0.08517637275956927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17612458383507018,0.0,0.0,0.04406373703588616,0.0,0.0,0.0,0.0,0.0,0.3410028792151594,-0.028772897405883107,0.0,0.0,0.0,0.0,0.0,0.31447448180368925,0.0,-0.17727229519515394,0.0,0.05151616752019828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22342012313588647,-0.007278338961760248,0.0,-0.2545601562033636,0.36190181884535927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21831351537878876,0.0,0.0,0.173603116340435,0.0,0.0,0.17040345931270176,0.0,0.0,0.0,0.0717586885110441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32255470228592886,0.0,-0.056338921783572166,0.0,0.0,0.0,0.0,0.0,0.15318070780615886,0.42173313348779695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011608106194057664,0.11282540967088278,0.0,0.0,0.0,0.0,0.03048282539666735,0.0027264314276896915,0.0,0.8160594849688393,-0.08941310093477095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40326654754835445,0.0,0.0,0.05530581477772682,0.0,0.3263479263231623,0.0,0.6482352496087491,0.0340351388719724,0.48097961216738455,0.07181141697976383,0.07510283650831259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0751544924990279,-0.09631075114515776,0.0,0.0,0.0,0.0,0.0,0.09384460455630397,0.0,0.0,0.0,0.0005681266060659614,0.0,0.0,0.0,0.0,-0.061257708068826855,0.0,0.1351891082174216,0.0,0.0,0.12660849671907146,0.0,0.0,0.0,0.0,0.0,0.06370989207996193,0.0,0.0,0.9158350439499529,0.0,0.23746620326758552,0.0,0.0,-1.0051868636477495,0.0,-0.08054326636709053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413408008464158,0.0,0.0578702489439136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12686503005976124,0.0,0.0,-0.09970852283688458,-0.41528063068055765,0.0,0.0,0.0,0.25932052847092824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4239064587520019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21622744297428892,0.0,0.0,0.0,0.0,-0.2235596868905789,0.0,0.0,0.0,0.0,0.0,0.0,0.5319774591717755,0.5501144795981733,0.0,0.5965880636661273,0.0,0.0,0.0,0.6058138785946644,0.0,0.0,0.0,0.0,0.0,-0.47432770484704734,0.0,0.0,0.0,-0.0257245661408296,0.0,0.0,0.0,0.08702690168237874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44726395925051254,0.0,0.0,0.0,0.4547592228961114,0.0,0.0,0.0,0.3922132808575088,0.0,0.0,0.0,0.0,-0.1893537162797558,0.4574697838568656,0.01677792844341628,0.0,0.0,0.0,-0.7910730079049353,0.0,0.0,0.0,-0.07982124462543573,0.0677389443423342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08896875319314976,0.0,0.0,0.08598069747548887,0.06850700592228201,0.0,0.0,0.0,-0.48327198536508653,0.0,0.0,0.0,0.0,0.0,0.0,0.2416018681887733,0.14551844811221706,0.0638249739157783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3425834719020953,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15618170413745094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10026344154404736,-0.006180743948138009,0.0,0.20385122309130815,0.0,0.0,0.0,0.0,0.0,0.14830282658206623,0.0,-0.5258179207229985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041203539191337075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03673948580365327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4780095278093376,0.434535586463241,0.0,0.0,0.0,0.0,-0.0790250610281436,0.0,0.0,0.5760746227894992,0.0,0.0,-0.6337220127207797,0.0,0.0,0.0,0.0,0.0,0.0,0.03822415551194369,0.0,-0.2366019434708676,0.0,0.0,0.0,0.0,0.0,0.0,0.46096520874723323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833169740426634,0.0,0.0,0.0,-0.4411004417095194,0.0,0.0,0.0,0.0,0.0,0.0,0.6277344826769269,0.0,0.0,-0.0031368493689972465,0.0,0.0,0.0,0.0,-0.15929699594348554,0.0,0.0,0.0,-0.28787475974174603,0.0,0.0,0.0,0.27960235943736483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559935433781327,0.0,0.0,0.0,0.0,-0.11862514902725947,0.0,0.0,-0.16198322596465103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4465871138244912,0.0,-0.017070562754707162,0.0,0.0,0.0,0.6990726834505484,0.0,0.05423064128940103,0.0,0.0,0.10830036670735538,0.0,0.0,0.0,0.0,0.02291005707323921,-0.14833426094957952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017728941931624904,0.0,-0.34899127856179835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14462987598188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54407683128716,0.0,0.0,0.12487340224857237,0.0,0.0,0.0,0.0,0.0,0.0,-0.18702543314961462,0.0,0.0,0.0,0.0,0.0,-0.41130126274384265,0.0,0.0,0.0,0.0,0.3079537556934912,-0.016185876359773917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4959026649648341,0.0,0.0,0.0,0.0,0.0,-0.10238403937396591,0.0,0.0,0.0,0.0,0.0,1.501671446114435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29047726063624363,0.0,0.0,0.3664982877870321,0.1636939249197701,0.0,0.0,0.05377984082466063,0.09468434590661724,0.0,0.0,0.06103145951416501,0.0,0.0,0.0,0.0,0.0,0.0,0.13199160826909975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6385913631029857,0.0,0.0,0.32919675652660674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6138567014270162,0.0,0.0,0.0,0.0,0.0,0.0,0.08645032296194301,0.1428997878849595,0.3317746268762034,0.001021236114979872,0.0,0.0,0.3349365900246518,0.24293382503487107,0.0,0.12454032412914748,-0.1373095687402452,0.0,0.0,0.17326182929624903,0.19331025356593595,0.0,0.0,0.0,0.6438967390574106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18579457521650353,0.0,0.0,0.0,0.0,0.0,0.0,0.5053184470368663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29370664901134025,0.0,0.09821191308352421,0.0,0.0,0.0,0.0,0.0,0.0,0.26555189234247023,-0.3752739251657865,0.0,0.0,0.0,0.041364169036293,0.0,0.0,0.0,0.0,0.0,0.43889904978156025,0.0,0.0,0.0,0.0,0.0,0.015647434128981577,0.0,0.0,0.0,0.006538394000621341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333920957646465,0.30673144295800664,0.0,0.0,0.0,0.07966101374363295,0.17790875916214802,0.0,0.0,0.034649533074310214
0.0,0.09007618108536565,0.0,0.0,0.0,0.0,0.32258976964150643,0.0,0.36109838412371204,0.21624661707652282,0.0,0.0,0.0,0.0,0.0,0.0,0.00467503615454746,-0.03205592407633931,0.0,0.5941416010557105,0.1057886200503239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33105191245784493,0.0,0.0,0.0,-0.11724411047624624,0.0,0.0,0.0,0.0,0.0,-0.3561247402918851,0.0,0.0,0.0,0.0,0.0,-0.195312144168306,0.4311220245982617,-0.14837872232020596,0.0,0.0,-0.030722404894467665,0.0,0.0,0.0,0.0,0.0,-0.157319574371424,0.08767299873764109,0.0,0.2918625248095924,0.0,0.0,0.0,0.0,0.0,0.18150879465003056,0.16745236402823696,0.0,-0.10721578870255657,0.0,0.0,0.0,-0.5093370907817104,0.0,0.0,0.0,0.08962537171070917,0.0,0.0,0.03003163432661724,0.0,0.022407501367067394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4559241901510263,-0.7325577818153174,0.0,0.0,-0.10864234342496673,0.483411458273409,0.0,-0.27979457760717635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1495632075616041,0.0,0.0,0.05122067504819756,0.0,0.0,0.050070638415853276,0.0,0.0,-0.19518049557722225,0.0,0.0,0.0,0.0,0.0,0.0703190732427867,0.0,0.0,0.0,-0.14824232958932174,0.0,0.0,0.0,0.2457819108177224,0.0,-0.2377127627875143,0.0,-0.06532017926116282,0.349772532239055,0.0,0.36935457223451434,0.001179083514447384,0.0,0.41125297540324984,0.0,-0.0884632886718147,0.13529988228615294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03665546472226411,-0.050537424737922686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06854873771709588,0.0,0.17268501464121258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21751921534045077,0.18461929907443514,0.0,0.0,0.7127190903489511,0.0,0.0,0.0,0.26028523641671103,0.009251902363848954,0.0,0.0,0.013543424547632873,0.0,0.0,0.0,0.0,0.17095202215322744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23045876887525854,0.0,-0.5881629202339755,0.46923789939218113,-0.023283377087320773,0.0,0.0,0.0,-0.1090692242669587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17019211467386958,0.0,0.0,0.0,0.0,0.0,0.0,0.8254306133339072,0.0,-0.049567100486801206,0.0,0.0,0.0,0.0,0.0,-0.06496814748557424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004029888886397059,0.0,0.0,0.0,-0.045735940693009916,1.115315273083397,0.1176354743230056,0.6014620943070281,-0.10789895310389115,0.24762558202306983,0.21253854171205658,0.0,-0.44632734980180244,0.0,0.0,-0.19882714781509986,0.17674995416280379,0.0,0.0,0.0,0.09199958057518828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3220791235754565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08590873767174523,0.0,0.0,0.2724618469355021,0.3872666791309471,-0.3300032328262764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17001228018687345,0.0,0.0,0.0,0.0,-0.1394299004418518,0.22878009880692324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5563673584649521,-0.17203279556415066,0.0,0.0,0.18476478937642515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213134051192231,0.0,0.0,0.0,0.0,-0.051177030185092516,-0.2295103654503712,0.0,0.0,0.0,0.0,0.0,0.3946962389244565,0.0,0.0,0.0,0.0,0.0,0.0,2.632720637355115e-05,0.9512987803239212,0.0,0.0,0.0,0.0,0.18462274325251984,0.0,0.0,0.0,0.2707819510524922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06368920842759176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48045579941681743,0.0,-0.10810576856053096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1623926357245079,0.0,0.0,0.0,0.1440326330749965,-0.20397796247906194,0.0,0.0,0.0,0.4309375525050104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04798192884154936,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3052634745250651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10407250469259646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08619365605906786,0.0,0.0,0.0,0.0,0.09197052873069815,0.12900329638073232,0.0,0.0,0.0,0.0,0.30102638767126516,0.0,0.2696636925167263,0.0,0.0,0.0,-0.033678764079671776,0.5882416453168113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21567300564900568,0.0,0.0,0.0,0.0,0.07040269873246492,0.0643102225133051,0.748412909373764,0.0009440668894849109,0.0,0.0,0.2548124096502319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7605159187517473,0.0,-0.23619678460305624,0.0,0.0,-0.034835169061977395,0.009085543721716934,0.0,0.0,0.0,0.17867612109772668,0.0,0.0,0.0,0.0,-0.03563728251503809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09355225500752787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522564446246254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1447995169508665,0.0,0.0,0.0,0.0,0.0,0.4331589327829093,0.0,0.0,0.0,0.0,0.7502811131635823,0.0,0.0,0.0,-0.18083474391105564,-0.05352097439651744,0.0,-0.6246847327083498,-0.1870695339730727,0.0,0.0,0.19629465828188455,0.0,0.0,0.0,0.0,0.021266712516768524,0.0,0.0,0.0,0.028399946461928987,0.0,0.0,0.0,0.0,-0.05228725156322228,0.0,-0.25704532538854163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1662655207652104,0.0,0.0,0.24521110194953807,0.0,0.0,0.0,0.0,0.0,0.06385290374422438,0.0,0.0,0.4445363613326506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04533239652502553,0.0625161124058471,-0.5393104436777717,-0.2678557840830251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3179533810893268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37073304939608015,0.0,0.0,0.10691589900862321,0.0,0.0,0.0,0.0,0.1236268813531633,0.0,0.0,0.0,0.0,-0.2337454458435494,0.0,-0.1810199541460395,0.049057197432351755,0.0,0.0,0.0,0.20061470239694565,0.0,0.0,0.0,-0.5040200581074755,0.0,0.0,0.0,0.056638571752465894,0.0,0.06455174763899603,0.0,0.0,0.0,0.0,0.03885294860579602,0.0,0.0,0.12085522108219558,-0.5162099394308454,0.1916486365448716,0.0,0.11267643019430977,0.0,-0.022095948186286365,-0.09754784430754879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06308910726793115,0.0,0.0,0.0,1.277902260347569,0.0,0.0,0.0,0.0,0.0,0.0,0.33717289372184,0.0,0.9574021617340935,-0.12060399166937885,0.0,0.1659482643813875,0.0,0.0,0.0,0.0,0.25991949132687286,0.0,0.0,0.0,0.0,-0.40270570807792877,0.08781114467826946,0.11264560149959266,0.31421080277374425,0.0,0.0,0.0,0.0,0.0,0.0,0.5677427763493841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06930293416608029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13431082760372406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5322218147994492,0.0,0.0,0.02338737005222443,0.0,0.0,0.0,0.0,0.0,0.0,-0.19179508823442848,0.0,0.0,0.0,0.0,0.2002698552779219,0.19396150597048226,0.34865917060530033,0.0,0.0,0.0,0.0,0.0,0.3862298491795019,0.5822742462027961,0.21515004161806262,0.0021116869668720162,0.0,0.0,0.0,0.0,-0.1903371255778493,0.0,0.0,-0.22038061507344797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21833653462792232,0.0,-0.36180833081568414,0.0,0.0,0.0,0.09264801173367422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1819033507480059,-0.2502837372679576,-0.09826944340487331,0.0,0.0,-0.41869272933821905,0.011695448255092807,0.0,0.0,0.0,0.0,0.09675680476119285,0.0
