Subtype,N,GO,GO sig,KEGG,KEGG sig,REACTOME,REACTOME sig,HPO,HPO sig
0,CRIS.A,72.0,2520.0,41.0,136.0,3.0,253.0,3.0,1542.0,1.0
1,CRIS.B,94.0,2781.0,3.0,114.0,0.0,406.0,2.0,2384.0,2.0
2,CRIS.C,81.0,2789.0,37.0,134.0,1.0,409.0,4.0,1590.0,0.0
3,CRIS.D,104.0,3364.0,0.0,147.0,0.0,377.0,0.0,2413.0,0.0
4,CRIS.E,96.0,2853.0,0.0,118.0,0.0,222.0,0.0,1842.0,1.0
5,all,420.0,6689.0,21.0,281.0,1.0,987.0,0.0,4226.0,0.0
