Subtype,N,GO,GO sig,KEGG,KEGG sig,REACTOME,REACTOME sig,HPO,HPO sig
0,Basal,30.0,1871.0,305.0,28.0,0.0,105.0,0.0,1182.0,0.0
1,Her2,56.0,2685.0,39.0,118.0,0.0,381.0,3.0,1346.0,3.0
2,LumA,86.0,3159.0,244.0,102.0,1.0,495.0,62.0,1980.0,73.0
3,LumB,63.0,2518.0,30.0,93.0,1.0,245.0,9.0,1602.0,148.0
4,all,214.0,5198.0,354.0,206.0,0.0,813.0,32.0,3043.0,163.0
