A2ML1,ABCB1,ABCG5,ABCG8,ABLIM2,ACKR3,ACTC1,ADAMTSL2,ADRA2C,AGR2,AGR3,AHNAK2,AIM1L,AIM2,ALDH4A1,ALDH5A1,ANKEF1,ANKRD22,ANKRD37,APCDD1,APOLD1,ARHGAP11A,ARHGAP11B,ARHGEF4,ASIC2,ASRGL1,ATF4,ATF7IP2,ATP1A1,ATP6V1H,B3GALT5,BAMBI,BARX2,BATF,BCL2L10,BCL2L15,BICD1,BMP2,BMPER,C17orf97,C19orf26,C2orf61,C4BPB,C6orf15,C7orf31,C8orf33,CALB1,CALB2,CARS2,CCDC60,CCDC89,CDKN1C,CECR2,CELF5,CERS4,CES1,CES4A,CHMP7,CHP2,CHST4,CKMT2,CLDN16,CLDN2,CLGN,CLIC3,CLSTN2,CLYBL,CPN1,CRAT,CREB3L1,CREG2,CRYL1,CRYM,CTAGE15,CTSA,CTSE,CWH43,CXorf40A,CYP2W1,CYP4F11,DEFA6,DEFB1,DLX3,DMBT1,DNAH3,DOC2A,DSG3,DUSP4,EDA,EEF1A2,EFHD1,EFNA2,EFNA5,EFR3B,EGF,EGLN3,EGR3,EIF2S2,EIF5AL1,ELAVL2,ELFN2,EPB41L4A,EPHA4,EPSTI1,ETNK2,EXTL3,EZR,FABP2,FAM110C,FAM177B,FAM83C,FBXO17,FCGBP,FCHO1,FFAR2,FFAR4,FGF20,FGGY,FKRP,FOXD2,FOXO6,FREM1,FSTL4,FYN,GABRB3,GAD1,GAL,GDF11,GID8,GJB5,GK,GLOD5,GNG4,GRAP,GREB1L,GRHL3,GRM8,GSKIP,GYLTL1B,HAVCR1,HCAR1,HEXIM1,HILPDA,HIST1H2BC,HOXB8,HOXD9,HS6ST1,IFIT3,IGF2,IGF2BP3,IL1RL2,INHBB,IZUMO2,KCNJ3,KCNS3,KCTD15,KHDRBS3,KIAA1324L,KIAA1467,KIAA1549L,KLHL13,KLK10,KLK11,KLK6,KLK8,KRT18,KRT80,KRTAP5-5,LAMA5,LARP6,LDHB,LDHD,LDLRAD3,LGR6,LINC00675,LINC01207,LONRF3,LRP12,LRRC10B,LRRC2,LRRC26,LRRFIP1,LRRIQ4,LY6G6C,LY6G6D,LYPD6B,MAGEA4,MAP7D2,MB,MED30,MEP1A,MEX3A,MLANA,MRAP2,MSLN,MSX2,MT1E,MTG2,MTM1,MTTP,MUC16,MUC17,MUC4,MX2,MYADML2,MYH15,MYO1D,MYRIP,MYT1,N4BP2L1,NAV1,NDRG1,NEK3,NKD1,NKD2,NMNAT3,NODAL,NOTUM,NPC1L1,NQO1,NR2F1,NRXN3,NT5E,NUTM2F,NXF3,NXPE4,NXPH3,OAS2,OTC,OXCT2,OXGR1,P3H2,PADI1,PAX6,PAX9,PCDHA4,PCSK4,PDE4C,PDE6A,PDZD3,PDZK1IP1,PERM1,PHYHIPL,PIGZ,PKDCC,PLA2G12B,PLA2G3,PLEKHN1,PLLP,PNLIPRP2,POFUT1,POU5F1B,PPP1R36,PPP2R2C,PRAC1,PRKAA2,PRKCQ,PRLR,PRPF6,PRR15,PRRT2,PRSS33,PTGER2,PTPRO,PTPRR,QPRT,RAB20,RAB2A,RAET1L,RASL10B,REEP1,REG3A,REG4,RGMB,RHBDL2,RNF182,RNF223,RPS4X,RPSAP58,S100A4,SAMD13,SAMHD1,SBK1,SBSPON,SCEL,SCUBE3,SDR16C5,SERPINB9,SESN1,SFTA2,SHISA6,SHISA9,SLC13A2,SLC16A14,SLC17A9,SLC1A7,SLC25A41,SLC28A3,SLC29A4,SLC30A2,SLC38A4,SLC44A5,SLC6A4,SLC7A5,SLCO1B3,SLITRK6,SMIM1,SOX14,SOX6,SOX8,SPACA3,SPAG1,SPDEF,SPTBN1,ST3GAL4,STRA6,SUGCT,SYNE4,TACSTD2,TAS1R3,TAZ,TCEAL1,TDGF1,TERT,TESC,TFF1,THRB,TLDC1,TM4SF20,TMEM176A,TMEM176B,TMEM211,TMEM229B,TMEM236,TMEM252,TNFRSF10A,TNNC2,TNNI3,TOMM34,TP53I11,TRIM54,TRIM58,TRIM7,TRIM71,TTPA,UBAC2,UGT2B15,URAD,VAV3,VIP,VNN2,VSTM2L,VWDE,WBSCR27,WIF1,WNT10A,WWC1,XAF1,XCL1,XPNPEP2,XRRA1,ZBED9,ZDHHC19,ZIC2,ZIC5,ZNF256,ZNF280B,ZNF285,ZNF486,ZNF541
0.0,0.0,0.3048357465477402,0.04978292107013745,0.0,0.0,0.0,0.0,0.0,0.07168239628016729,0.40333847126936895,0.0,0.0,0.0,-0.26023898365537773,0.0,0.0,0.0,0.656192509184736,0.0,0.0,0.0,0.0,0.0,0.0,0.4837820851611347,0.0,0.0,0.0,0.0,0.0,0.0,0.24245730972870677,0.0,0.0,0.0,0.0,0.23116485741927195,0.0,0.0,0.0,0.0,0.19618878365707018,0.0,0.0,0.0,0.0,0.0,-0.062335179610328674,0.08001469457652727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7164984016959945,-0.8398549192158644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2459574655447239,0.0,0.0,0.047242683471170104,0.0,0.0,0.4465627671632954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05109950529960729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32029090317837366,0.0,0.0,0.1618381617362642,0.0,-0.20334664849421952,0.0,-0.024831475945709332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13113261255954503,0.0,0.18412955783417942,0.0,0.0,0.395017549934518,0.0,0.10716698724581765,0.5442858798315218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09072907843226138,0.0,0.0,0.0,-0.11708505962615118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11245040297675978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13960071255998413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12267458912659629,0.0,0.2686636258025421,0.3330139653019503,0.0,0.0,0.0,0.0,0.18667232097367095,0.0,0.5159629995470961,0.0,-0.35164866365108194,0.6935807430959167,0.0,-0.022833349100945213,0.20735333266420963,0.0,0.0,0.0,0.0,0.9297460894607426,0.0,0.0,0.0,-0.15115154348035392,0.0,0.0,0.0,0.0,0.004809057314215582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41413239099294574,-0.4838671488793253,0.0,0.0,-0.13559279728491883,0.0,0.0,0.0,0.0,0.0,0.0,0.4837884036020595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500529860450493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2759686785549176,0.0,0.0,0.0,-0.1495985131990233,-0.05786832852220421,0.0,0.0,0.0,0.0,0.0,0.0,-0.4071029530215385,0.0,0.0,0.0,0.33877151289922325,0.0,0.0,-0.6290824476799851,0.0,0.0,0.0,0.0,0.0,0.0,0.33066551043605774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18838052150575543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6290307079683538,-0.20981741968232773,0.0,0.5403468955305675,0.0,0.0,0.0,0.0,0.0,0.0,0.19209399249638195,0.0,0.5343564868476054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1276753196618585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02903373860687209,0.0,-0.28588657771583653,0.0,0.0,0.0,0.12938913868885069,0.0,0.0,0.0,0.394937206238074,0.0,0.0,0.0,0.06569566011897532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34473843606307514,0.0,0.0,0.0,0.0,0.0,0.2630673312609971,0.0,0.0,0.0,0.0,0.11170850466366741,0.2685561386723379,0.18393198353639173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12065807857911308,0.23681257887670018,0.0,0.0,-0.48589164034604637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043318409402487885,0.0,0.0,0.0,0.0,0.0,0.0,0.7436674856033187,0.0,0.0,0.34225044710716035,0.30321476826106586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1067718870066015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08878805358219591,0.0,0.0,0.0,0.0,0.0,0.4474292667227793,0.0,-0.05337878002109034,0.0,0.0,0.0,0.3479677301777451,0.0,-0.140593261333843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2740748536582375,0.0,-0.08633317818150205,0.19157741971944167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19116199548166854,0.07857594134720157,0.0,0.013170344623257184,0.0,0.0,0.11068013211906466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30801259689758026,0.0,0.0,0.0,0.0,0.06520726574967917,0.2752956707722081,0.0,0.0,0.0,0.0,0.0,0.0,-0.044862478652424966,0.0024770939381442408,0.0,0.0,0.0,0.04128452770355442,0.0,0.8469156521241943,0.0,0.0,0.0,0.0,0.0,0.40247677639180857,0.0,0.0,0.015872971337833816,0.24090887262168656,0.0,0.36053766648346164,0.0,0.006543302215442577,0.6846053587385486,0.3872780031419448,0.04587180023847099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029615102596683894,-0.20831828948373518,0.0,0.0,0.0,0.0,0.0,0.020280181279812425,0.0,0.07533277828257319,0.0,0.0,0.0,0.0,0.0,0.0,-0.1013895803882416,0.0,0.1625506618490388,0.0,0.23419086883054713,0.0,0.0,0.0,0.0,0.0,0.02105997254142887,0.0,0.0,0.8612622324774962,0.0,0.17280524758396823,0.0,-0.929154034133858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000884867020532,0.0,0.0,0.0,0.0,0.04013847718718697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19889144718079316,0.0,-0.11856742173846802,-0.2856032442880801,0.0,0.0,0.22994199218934058,0.01750103433799081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24602019980896447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20643347281144522,0.0,0.0,0.0,0.0,-0.2105020610134768,0.0,0.0,0.0,0.0,0.0,0.5012683558994322,0.0,0.37502838448676024,0.0,0.0,0.6277591220425537,0.0,0.0,0.025464093223142737,0.0,0.6534290669983908,0.0,0.0,0.0,-0.46736663766900965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37148934330797,0.0,0.0,0.0,0.0,0.4396650878180552,0.0,0.0,0.0,0.2220959770554199,0.0,0.0,0.0,-0.22822425736579768,0.37846055914840104,0.0,0.0,0.0,-0.6541583655271007,0.0,0.0,0.0,0.0,0.009897435222075845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03470669620541121,0.0,0.05714444725181157,0.0,0.0,0.0,0.0,0.0,0.0,-0.3779920853959653,0.0,0.0,0.0,0.0,0.0,0.0,0.04487678396138513,0.1460471401164065,0.10099750846213848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2385467550703487,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038379767547324292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194314365867798,0.0,0.0,0.0,0.0,0.018915079832791122,0.0,-0.5526413713432686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04513745506123142,0.17257165059753013,0.0,0.0,0.0,0.0,0.0,0.0,0.43896744900044665,0.5394429730797423,0.0,0.0,0.0,-0.03826383796439186,0.0,0.0,0.5967212426142646,0.0,-0.5966060944722535,0.0,0.0,0.0,0.0,0.0,-0.13821578695796286,0.0,0.0,0.0,0.0,0.0,0.41461624630824534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438507265479672,0.0,-0.4023916557515889,0.0,0.0,0.0,0.0,0.0,0.0,0.47939601934785697,0.0,-0.0018332478102323015,0.0,0.0,0.0,0.0,0.0,-0.06532288098387658,0.0,0.0,-0.18295124884277203,0.0,0.0,0.0,0.0,0.2554227223333442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27616062112962336,0.0,0.0,0.0,-0.093514302627901,0.0,-0.042399570879979,0.0,0.0,0.0,0.0,0.0,0.0,0.38556045255042665,-0.05225834293946012,0.0,0.0,0.6406349278887259,0.0,0.0,0.0,0.12003308909499137,0.0,0.0,0.0,-0.13184725817172366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23289079068234603,0.0,0.0,0.0,0.0,-0.12801716809408717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3060586789947682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6052045041177253,0.0,0.00018429821161703239,0.0,0.0,0.0,0.0,0.0,-0.1009894215212364,0.0,0.0,0.0,0.0,0.0,-0.39676284793289535,0.0,0.0,0.0,0.0,0.2816325339636279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4413221724083091,0.0,0.0,0.0,0.0,-0.012971156478596452,0.0,0.0,0.0,0.0,1.55144972004749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21800940726658646,0.0,0.29486064057453193,0.14097106916189023,0.0,0.0,0.0,0.0,0.0,0.13605526049674646,0.0,0.0,0.0,0.016494112428391362,0.0,0.0,0.0,0.0,0.17550638998843526,0.0,0.0,0.0,0.0,0.0215053839247207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49181475656834217,-0.004414999722821705,0.0,0.31048463909126134,-0.002124102763881983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21066257632217936,0.0,0.0,-0.6266624851001473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09811880256578051,0.21080225165521244,0.0,0.0,0.25676285588901454,0.14327926266832317,-0.15842432264213477,0.0,0.14593628594496985,0.10382355377821458,0.0,0.6782923213389151,0.0,0.0,0.0,0.013713380608702254,0.0,0.0,0.0,0.0,0.10877855889795156,0.0,0.0,0.0,0.0,0.0,0.4326843670973731,0.0,0.0,0.0,0.0,0.0,0.0,-0.24327809879223652,0.0,0.0946038527575876,0.0,0.0,0.0,0.0,0.0,0.0,0.5377893611668076,0.011420514026815938,-0.3845085204273311,0.0,0.0,0.0,0.0,0.00911751614032434,0.0,0.0,0.0,0.4167439901332334,0.0,0.0,0.0,0.0,0.0,0.0,0.05091747168478326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12574640048596616,0.21542604084125527,0.0,0.0,0.0,0.10609771248779594,0.18288364084629502,0.0,0.0
0.0,0.055004053855867645,0.0,0.0,0.0,0.26945820293888834,0.0,0.23066717575610166,0.21693974679848288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023661007819969587,-0.037842896850672894,0.0,0.5558550372592159,0.23580642207079064,0.0,0.0,0.0,0.0,0.0,0.21857258688227904,0.0,0.0,0.0,-0.12848393453880896,0.0,0.0,0.0,0.0,-0.540647673970042,0.0,0.0,0.0,-0.15367975021586452,0.3507687294453363,-0.1295181132442372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269338924739965,0.15558379039368814,0.0,0.0,0.2754306697880921,0.1700672363590501,0.0,0.0,-0.07209311048794667,0.0,0.0,-0.45506793933500184,0.0,0.0,0.0,0.04057425361963917,0.0,0.06633000470458504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45754678781183733,-0.6327909653722381,0.0,-0.06461407534539006,0.44490587251366576,0.0,-0.2449570721433009,0.0,0.0,0.0,0.0,0.0,0.13825040319700102,0.0,0.0,0.06361317142126084,0.0,0.0,0.0,0.0,-0.15322564303768574,0.0,0.0,0.0,0.0,0.0,0.022320451365994354,0.0,0.0,0.0,-0.17509093608012666,0.0,0.0,0.23107401918338058,0.0,-0.12041643644293444,0.0,0.0,0.2890823077719345,0.0,0.20477538310726676,0.0,0.4874022363685061,0.0,0.12331350945323073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07353095679338097,0.23823914630241125,0.0,0.0,0.0,0.0,0.0,0.0,0.2262761201773687,0.029802610476159563,0.0,0.6377416397716842,0.0,0.0,0.17583205646789773,0.0,0.0,0.0,0.0,0.0,0.11115493126363922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1559716429495849,0.00727023062500665,0.0,-0.5682670214398274,0.5579563358715757,-0.019184139146595596,0.0,0.0,-0.11053704654244352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1362913219114181,0.0,0.0,0.0,0.0,0.9262206640854328,0.0,0.0,0.0,0.0,0.0,0.0,-0.02266213475991112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03549954890219047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8990879714292044,0.16332360421790937,0.6068985042680904,-0.12797984870465004,0.1868111184357183,0.16322664671141393,-0.3497977166779635,0.0,0.0,-0.2205353690109752,0.32857103626619866,0.0,0.0,0.08844988795249546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3541545043432571,0.0,0.0943668624772743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08685948160362619,0.0,0.0,0.21363614901885358,0.2459591131095142,-0.23644849292301648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05845675059509288,0.0,0.0,0.0,0.0,-0.24775789162753722,0.27981180079891005,0.0,0.0,0.0,0.0,0.0,0.0,0.036521588088229216,0.0,0.0,0.42108578692098386,-0.18526843951347047,0.0,0.0,0.0,0.1468640167444728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19036585040860626,0.0,0.0,-0.1518660924038705,0.0,0.0,0.0,0.0,0.0,0.0,0.24010577541777148,0.0,0.0,0.0,0.0,0.0,0.0,0.9096496575266477,0.0,0.0,0.0,0.15688630949654936,0.0,0.0,0.0,0.145644888098278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0898944197304007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5012950783675135,0.0,0.0,0.0,0.0,0.0,-0.07559968737358833,0.0,0.0,0.1873914864329534,-0.037874901584668774,0.034146164904821,0.0,0.0,0.0,0.27362901809494194,0.0,0.0,0.0,0.0,0.0,0.0,0.022001495616827228,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.24320977360784973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061624573803546336,0.0,0.0,0.0,0.01935841823702854,0.017053243298451273,0.0,0.0,0.0,0.0,0.18741255120074077,0.2019712772447263,0.0,0.0,0.0,0.5354453784056183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1564014505248898,0.0,0.0,0.0,0.0,0.0,0.0018732865135991789,0.7267869214938655,0.018232718740311224,0.0,0.0,0.23050471047339985,0.0,0.0,0.0,0.0,0.7488388320384456,0.0,-0.16580037367937084,0.0,0.0,-0.06865195381754337,0.13896917221380659,0.0,0.0,0.12409822403750777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08601614148389866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13773883217651675,0.0,0.0,0.0,0.0,0.0,0.48420763823968366,0.0,0.0,0.0,0.6335515710016981,0.0,0.0,-0.05214716318702303,0.0,-0.5564854473997664,-0.08667658086282994,0.0,0.0,0.20680387149907206,0.24132288726386045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09101080014864886,0.0,-0.15436624131047727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17902041947289185,0.0,0.2598119929477389,0.0,0.0,0.0,0.033803162264726544,0.0,0.0,-0.17390897058395946,0.3912635833210596,0.0,0.0,0.0,0.0,0.0,0.0,0.0576074266066424,-0.4686947663321423,0.0,-0.24820084367412892,0.0,0.0,0.0,0.0,0.0,0.0,-0.24053452086890295,0.0,0.2720987751667335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631138354308925,0.0,0.0,0.0,0.0,0.0,-0.334070019440025,0.0,0.0,0.05087429279925232,0.0,0.0,0.0,0.0,0.271105989868489,0.0,0.0,0.0,0.0,0.05660484162017608,-0.29724047054459324,-0.08474072038950513,0.09535108606899566,0.0,0.0,0.1560174867879363,0.0,0.0,-0.4739070248243567,0.0,0.0,0.0,0.0,0.2562608708933406,0.0,0.0,0.0,0.0,0.053321290631205435,0.0,0.03451930499409699,-0.4433693192955626,0.0,0.03010584817622167,0.0,0.09004081177484083,0.0,-0.0635753711125015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3100675099307992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43179595845479296,0.0,0.9051530105760213,-0.15557233419864355,0.0,0.12902468510800588,0.0,0.0,0.0,0.0,0.20532083992815503,0.0,0.0,0.0,0.0,-0.4710621085870025,0.035447912242230956,0.24337401098057676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470823402856355,0.0,0.0,0.0,0.0,0.0,-0.015749068156542572,0.0,0.0,0.0,0.0,0.0,-0.04330584569535115,0.0,0.0,0.0,0.0,0.0,0.0,0.4654451510081971,0.0,0.0,0.019410838231886548,0.0,0.0,0.0,0.0,0.0,-0.1706514993713105,0.0,0.0,0.0,0.09021965141798968,0.08974735520079062,0.1973597989658229,0.0,0.0,0.0,0.0,0.0,0.3789962579984699,0.5578407537312121,0.19511827953905453,0.1494032950553417,0.0,0.0,0.0,0.0,0.0,-0.07773240467246498,0.0,0.0,0.0,-0.15017339006981717,0.0,0.0,0.0,0.09100054813870424,0.0,-0.40794679292785424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091871498943538,-0.28806087557493176,0.0,0.0,-0.23816520211620473,-0.03391392616586548,0.0,0.0,0.0,0.0,0.12181778907273788
