Subtype,N,GO,GO sig,KEGG,KEGG sig,REACTOME,REACTOME sig,HPO,HPO sig
0,CRIS.A,67.0,2304.0,15.0,111.0,1.0,219.0,3.0,1054.0,1.0
1,CRIS.B,81.0,2067.0,2.0,69.0,0.0,266.0,1.0,1379.0,0.0
2,CRIS.C,74.0,2494.0,7.0,119.0,0.0,365.0,0.0,1156.0,0.0
3,CRIS.D,92.0,3029.0,0.0,128.0,0.0,302.0,0.0,1994.0,1.0
4,CRIS.E,86.0,2416.0,0.0,87.0,0.0,194.0,0.0,1609.0,2.0
5,all,369.0,5815.0,3.0,248.0,1.0,834.0,0.0,3415.0,0.0
