A2ML1,ABCB1,ABCG5,ABCG8,ABLIM2,ACKR3,ACTC1,ADAMTSL2,ADRA2C,AGR2,AGR3,AHNAK2,AIM1L,AIM2,ALDH4A1,ALDH5A1,ANKEF1,ANKRD22,ANKRD37,APCDD1,APOLD1,ARHGAP11A,ARHGAP11B,ARHGEF4,ASIC2,ASRGL1,ATF4,ATF7IP2,ATP1A1,ATP6V1H,B3GALT5,BAMBI,BARX2,BATF,BCL2L10,BCL2L15,BICD1,BMP2,BMPER,C17orf97,C19orf26,C2orf61,C4BPB,C6orf15,C7orf31,C8orf33,CALB1,CALB2,CARS2,CCDC60,CCDC89,CDKN1C,CECR2,CELF5,CERS4,CES1,CES4A,CHMP7,CHP2,CHST4,CKMT2,CLDN16,CLDN2,CLGN,CLIC3,CLSTN2,CLYBL,CPN1,CRAT,CREB3L1,CREG2,CRYL1,CRYM,CTAGE15,CTSA,CTSE,CWH43,CXorf40A,CYP2W1,CYP4F11,DEFA6,DEFB1,DLX3,DMBT1,DNAH3,DOC2A,DSG3,DUSP4,EDA,EEF1A2,EFHD1,EFNA2,EFNA5,EFR3B,EGF,EGLN3,EGR3,EIF2S2,EIF5AL1,ELAVL2,ELFN2,EPB41L4A,EPHA4,EPSTI1,ETNK2,EXTL3,EZR,FABP2,FAM110C,FAM177B,FAM83C,FBXO17,FCGBP,FCHO1,FFAR2,FFAR4,FGF20,FGGY,FKRP,FOXD2,FOXO6,FREM1,FSTL4,FYN,GABRB3,GAD1,GAL,GDF11,GID8,GJB5,GK,GLOD5,GNG4,GRAP,GREB1L,GRHL3,GRM8,GSKIP,GYLTL1B,HAVCR1,HCAR1,HEXIM1,HILPDA,HIST1H2BC,HOXB8,HOXD9,HS6ST1,IFIT3,IGF2,IGF2BP3,IL1RL2,INHBB,IZUMO2,KCNJ3,KCNS3,KCTD15,KHDRBS3,KIAA1324L,KIAA1467,KIAA1549L,KLHL13,KLK10,KLK11,KLK6,KLK8,KRT18,KRT80,KRTAP5-5,LAMA5,LARP6,LDHB,LDHD,LDLRAD3,LGR6,LINC00675,LINC01207,LONRF3,LRP12,LRRC10B,LRRC2,LRRC26,LRRFIP1,LRRIQ4,LY6G6C,LY6G6D,LYPD6B,MAGEA4,MAP7D2,MB,MEP1A,MEX3A,MLANA,MPC1,MRAP2,MSLN,MSX2,MT1E,MTG2,MTM1,MTTP,MUC16,MUC17,MUC4,MX2,MYADML2,MYH15,MYO1D,MYRIP,MYT1,N4BP2L1,NAV1,NDRG1,NEK3,NKD1,NKD2,NMNAT3,NODAL,NOTUM,NPC1L1,NQO1,NR2F1,NRXN3,NT5E,NUTM2F,NXF3,NXPE4,NXPH3,OAS2,OTC,OXCT2,OXGR1,P3H2,PADI1,PAX6,PAX9,PCDHA4,PCSK4,PDE4C,PDE6A,PDZD3,PDZK1IP1,PERM1,PHYHIPL,PIGZ,PKDCC,PLA2G12B,PLA2G3,PLEKHN1,PLLP,PNLIPRP2,POFUT1,POU5F1B,PPP1R36,PPP2R2C,PRAC1,PRKAA2,PRKCQ,PRLR,PRPF6,PRR15,PRRT2,PRSS33,PTGER2,PTPRO,PTPRR,QPRT,RAB20,RAB2A,RAET1L,RASL10B,REEP1,REG3A,REG4,RGMB,RHBDL2,RNF182,RNF223,RPS4X,RPSAP58,S100A4,SAMD13,SAMHD1,SBK1,SBSPON,SCEL,SCUBE3,SDR16C5,SERPINB9,SESN1,SFTA2,SHISA6,SHISA9,SLC13A2,SLC16A14,SLC17A9,SLC1A7,SLC25A41,SLC28A3,SLC29A4,SLC30A2,SLC38A4,SLC44A5,SLC6A4,SLC7A5,SLCO1B3,SLITRK6,SMIM1,SOX14,SOX6,SOX8,SPACA3,SPAG1,SPDEF,SPTBN1,ST3GAL4,STRA6,SUGCT,SYNE4,TACSTD2,TAS1R3,TAZ,TCEAL1,TDGF1,TERT,TESC,TFF1,THRB,TLDC1,TM4SF20,TMEM176A,TMEM176B,TMEM211,TMEM229B,TMEM236,TMEM252,TNFRSF10A,TNNC2,TNNI3,TOMM34,TP53I11,TRIM54,TRIM58,TRIM7,TRIM71,TTPA,UBAC2,UGT2B15,URAD,VAV3,VIP,VNN2,VSTM2L,VWDE,WBSCR27,WIF1,WNT10A,WWC1,XAF1,XCL1,XPNPEP2,XRRA1,ZBED9,ZDHHC19,ZIC2,ZIC5,ZNF256,ZNF280B,ZNF285,ZNF486,ZNF541
0.0,0.0,0.30449863372020086,0.049511842444136284,0.0,0.0,0.0,0.0,0.0,0.07142359039606457,0.40384038069763156,0.0,0.0,0.0,-0.2597934103424699,0.0,0.0,0.0,0.6564431139010496,0.0,0.0,0.0,0.0,0.0,0.0,0.483419067691085,0.0,0.0,0.0,0.0,0.0,0.0,0.2424600037388273,0.0,0.0,0.0,0.0,0.23178278707397856,0.0,0.0,0.0,0.0,0.19587166606804546,0.0,0.0,0.0,0.0,0.0,-0.06199051915260523,0.08009763661216485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166766377831795,-0.8397223192553501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2458559233549235,0.0,0.0,0.04723719225381671,0.0,0.0,0.44643296148795586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05106908252658254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206462201736195,0.0,0.0,0.16197804071955116,0.0,-0.20337931061967782,0.0,-0.025018522603773102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13146510852306972,0.0,0.18479396964575093,0.0,0.0,0.3950976765354612,0.0,0.10775258014130522,0.543845968013581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09077067486269412,0.0,0.0,0.0,-0.1169137359886383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11222509058734213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1392957480878131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12232484922831484,0.0,0.2689833937206457,0.33231222647693354,0.0,0.0,0.0,0.0,0.186558883378903,0.0,0.5160163814339371,0.0,-0.35213124943494545,0.6935991580130345,0.0,-0.022717847555419862,0.20745008244315,0.0,0.0,0.0,0.0,0.930317901109226,0.0,0.0,0.0,-0.15122993044369673,0.0,0.0,0.0,0.0,0.005057277043211223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4139841172398235,-0.4834908953901539,0.0,0.0,-0.13580969489078948,0.0,0.0,0.0,0.0,0.0,0.0,0.48403456607645434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15024775184370853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2758079911369405,0.0,0.0,0.0,-0.14974885955925876,-0.05786278092060463,0.0,0.0,0.0,0.0,0.0,0.0,-0.407170526878501,0.0,0.0,0.0,0.3386065805842124,0.0,0.0,-0.6284858368460441,0.0,0.0,0.0,0.0,0.0,0.0,0.33051248170221376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18812782642049844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6291707331125551,-0.21054263759937697,0.0,0.5397759206138025,0.0,0.0,0.0,0.0,0.0,0.0,0.19150780618739255,0.0,0.5343461214416347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128326861408764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02915299903947681,0.0,-0.2859197116163935,0.0,0.0,0.0,0.1296458478072756,0.0,0.0,0.0,0.39424414132150476,0.0,0.0,0.0,0.06565736843021795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34423985991705075,0.0,0.0,0.0,0.0,0.0,0.26274291993080573,0.0,0.0,0.0,0.0,0.1121408227441472,0.26883039876809045,0.18380513954604294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12025195304350052,0.23720608464448595,0.0,0.0,-0.48599483629789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043607103316227365,0.0,0.0,0.0,0.0,0.0,0.0,0.7436101758246728,0.0,0.0,0.3422131614559638,0.30344519491834476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10632847955402658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08826225095699573,0.0,0.0,0.0,0.0,0.0,0.4474177300838497,0.0,-0.05300969010688664,0.0,0.0,0.0,0.34878421871643334,0.0,-0.14115692588569662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27363604691091065,0.0,-0.0864081123442407,0.19217969312297822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19163202618488911,0.07833242169650823,0.0,0.013001970560567898,0.0,0.0,0.11036326139942207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308012910424653,0.0,0.0,0.0,0.0,0.064937189743693,0.27594607221741946,0.0,0.0,0.0,0.0,0.0,0.0,-0.044281998166126546,0.0023649056490628886,0.0,0.0,0.0,0.041454096538713354,0.0,0.8466824842887275,0.0,0.0,0.0,0.0,0.0,0.40249801238155314,0.0,0.0,0.01625719879310474,0.2410651333904076,0.0,0.36082344498612,0.0,0.00694418157965117,0.6838995381642118,0.38733045376059694,0.04638460507129188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029653066283734205,-0.208394315189191,0.0,0.0,0.0,0.0,0.0,0.020058441876983628,0.0,0.07524274744355282,0.0,0.0,0.0,0.0,0.0,-0.10119345681509623,0.0,0.16243877676258733,0.0,0.0,0.23453263691810006,0.0,0.0,0.0,0.0,0.0,0.0210295731884591,0.0,0.0,0.8609298748426185,0.0,0.17266495708699178,0.0,-0.9295984023728711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03982658101576178,0.0,0.0,0.0,0.0,0.039961586836363035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19857926972870965,0.0,-0.11853189907140421,-0.2857433336887297,0.0,0.0,0.2296189121984504,0.017741853572798352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2455494348551108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20580627898850218,0.0,0.0,0.0,0.0,-0.21099209971765887,0.0,0.0,0.0,0.0,0.0,0.5019112434917417,0.0,0.3751389863087939,0.0,0.0,0.6277003929754512,0.0,0.0,0.025640266425038097,0.0,0.6533052397843692,0.0,0.0,0.0,-0.4672718747904535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3714890779292283,0.0,0.0,0.0,0.0,0.43970588960669577,0.0,0.0,0.0,0.22213635459673947,0.0,0.0,0.0,-0.22834807352318104,0.3785274655738236,0.0,0.0,0.0,-0.6541584579302926,0.0,0.0,0.0,0.0,0.009573870235306406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03519859949870636,0.0,0.05692117743863598,0.0,0.0,0.0,0.0,0.0,0.0,-0.3778028332075222,0.0,0.0,0.0,0.0,0.0,0.0,0.04450108275272063,0.14646032545796597,0.10106590301642873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2385245604580786,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004411334605426841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11946920192624347,0.0,0.0,0.0,0.0,0.01907223936850287,0.0,-0.5522034810424248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04543225135186302,0.17253858812507897,0.0,0.0,0.0,0.0,0.0,0.0,0.43904826368908584,0.5392573141708691,0.0,0.0,0.0,-0.03833356748746415,0.0,0.0,0.5970198793819939,0.0,-0.5968706617028765,0.0,0.0,0.0,0.0,0.0,-0.13805609810536376,0.0,0.0,0.0,0.0,0.0,0.4148369601306005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4385435695037621,0.0,-0.40245223823647847,0.0,0.0,0.0,0.0,0.0,0.0,0.4793628278252951,0.0,-0.001858029850426217,0.0,0.0,0.0,0.0,0.0,-0.0657204422264794,0.0,0.0,-0.182899718677905,0.0,0.0,0.0,0.0,0.25512809022226346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27595942794759387,0.0,0.0,0.0,-0.09336748963514684,0.0,-0.04232662482882488,0.0,0.0,0.0,0.0,0.0,0.0,0.385565537672435,-0.05199164395398773,0.0,0.0,0.6405808101078543,0.0,0.0,0.0,0.11974861797012094,0.0,0.0,0.0,-0.13217010417422828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23302335296615936,0.0,0.0,0.0,0.0,-0.1284461789349435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30636290440771613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605198368953645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10097080106060125,0.0,0.0,0.0,0.0,0.0,-0.39671820070502495,0.0,0.0,0.0,0.0,0.2812225486228242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4409675930820279,0.0,0.0,0.0,0.0,-0.013140008025318808,0.0,0.0,0.0,0.0,1.5514380995406858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180071567919933,0.0,0.29487890747867257,0.14115429663520765,0.0,0.0,0.0,0.0,0.0,0.13606520243980644,0.0,0.0,0.0,0.016706060121499767,0.0,0.0,0.0,0.0,0.17562704274704333,0.0,0.0,0.0,0.0,0.021515108225610556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49205361867239955,-0.004311866079860256,0.0,0.31068786304975493,-0.0019792004538133536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106182255508471,0.0,0.0,-0.6263744947526532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09808880339059602,0.21084156453763153,0.0,0.0,0.2567080756458103,0.14309161513527513,-0.15865254796063852,0.0,0.14566884100128444,0.10379335883964702,0.0,0.6782374802893952,0.0,0.0,0.0,0.01353162891227951,0.0,0.0,0.0,0.0,0.10878194337310448,0.0,0.0,0.0,0.0,0.0,0.4323548898930494,0.0,0.0,0.0,0.0,0.0,0.0,-0.24330166760850838,0.0,0.09446712173452466,0.0,0.0,0.0,0.0,0.0,0.0,0.5381590589205624,0.011410584197778177,-0.3844122314743093,0.0,0.0,0.0,0.0,0.009476340633594841,0.0,0.0,0.0,0.4163367529950589,0.0,0.0,0.0,0.0,0.0,0.0,0.0512501027062064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12586279789689678,0.21548515209352248,0.0,0.0,0.0,0.10606678471506782,0.18276378899023477,0.0,0.0
0.0,0.05475692641315416,0.0,0.0,0.0,0.2694558409614417,0.0,0.23058156851402625,0.21709663595241352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02349287370024972,-0.037852533021628276,0.0,0.5560091616941942,0.23571439717699252,0.0,0.0,0.0,0.0,0.0,0.21874852009184811,0.0,0.0,0.0,-0.12869754181524662,0.0,0.0,0.0,0.0,-0.540231522479444,0.0,0.0,0.0,-0.15361246364423856,0.3507081367989698,-0.1298864762427932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22719200006042845,0.15546625082377397,0.0,0.0,0.27581045430265844,0.1705067093571837,0.0,0.0,-0.07179102094498264,0.0,0.0,-0.45469373718044437,0.0,0.0,0.0,0.040720163562406,0.0,0.0662837392713503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576024708256115,-0.6325578089159616,0.0,-0.0650793640419601,0.4444464241768754,0.0,-0.24454984555776202,0.0,0.0,0.0,0.0,0.0,0.13807372311731228,0.0,0.0,0.06363672979409579,0.0,0.0,0.0,0.0,-0.1529770548807675,0.0,0.0,0.0,0.0,0.0,0.022442377591589645,0.0,0.0,0.0,-0.17502141077709865,0.0,0.0,0.23102313500883626,0.0,-0.12051077468375855,0.0,0.0,0.28917269761144865,0.0,0.20494127006434,0.0,0.48700036584484446,0.0,0.12347120021713381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07307487432941089,0.23819958017794296,0.0,0.0,0.0,0.0,0.0,0.0,0.2259490457201908,0.02981224649484395,0.0,0.6380592421193823,0.0,0.0,0.17595939995800747,0.0,0.0,0.0,0.0,0.0,0.11144958319707504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15596173580172332,0.007496027581102175,0.0,-0.5682384869757185,0.5577430672405964,-0.018793891360247235,0.0,0.0,-0.1107473198063688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364516404270006,0.0,0.0,0.0,0.9262657756012184,0.0,-0.0001324238299598301,0.0,0.0,0.0,0.0,0.0,-0.02248586164782925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03533064587518314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8987863234476181,0.16354214821801819,0.6066455243787127,-0.12839981927814426,0.18697966261155308,0.16289305954038705,-0.3498720272976256,0.0,0.0,-0.22060542967819435,0.32835937333063253,0.0,0.0,0.08881123797121661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.354286308018096,0.0,0.0938878660385115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08706233525642751,0.0,0.0,0.21374684029638946,0.24606851420047615,-0.23652915568894772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05847167895511485,0.0,0.0,0.0,0.0,-0.24743861195718608,0.2806348937355692,0.0,0.0,0.0,0.0,0.0,0.0,0.0363189600335746,0.0,0.0,0.4206550577085814,-0.18518829021295302,0.0,0.0,0.0,0.1468679938148411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1907415597271576,0.0,0.0,-0.15167551996094833,0.0,0.0,0.0,0.0,0.0,0.0,0.23949233342452883,0.0,0.0,0.0,0.0,0.0,0.0,0.9096626273614786,0.0,0.0,0.0,0.15725537296362907,0.0,0.0,0.0,0.14562880240165368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08982444040971982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5016612366207311,0.0,0.0,0.0,0.0,0.0,-0.07572449866911257,0.0,0.0,0.18686999182942918,-0.03791409103307751,0.03457691943260616,0.0,0.0,0.0,0.27330319746573656,0.0,0.0,0.0,0.0,0.0,0.0,0.02184228444498935,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.24307672397358762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06152986664721488,0.0,0.0,0.0,0.019549104037049556,0.017274542942926765,0.0,0.0,0.0,0.0,0.1871832394338056,0.2025617485118475,0.0,0.0,0.0,0.5355634569410026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1567123584526877,0.0,0.0,0.0,0.0,0.0,0.0017193626105090208,0.7269319155848212,0.01843475567579595,0.0,0.0,0.23044936611111494,0.0,0.0,0.0,0.0,0.7489729278557067,0.0,-0.16556922446825179,0.0,0.0,-0.06827022814960051,0.13923649666408075,0.0,0.0,0.12393090121474123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08599038338684492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1380758776186289,0.0,0.0,0.0,0.0,0.0,0.4843428270867545,0.0,0.0,0.0,0.6333618818657277,0.0,0.0,-0.051982162269386956,0.0,-0.5564163597324642,-0.08645058081117708,0.0,0.0,0.207030434461964,0.24156877534342616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09107885689472536,0.0,-0.15455177940273251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17832709811867797,0.0,0.25964265607812176,0.0,0.0,0.0,0.033756996006491666,0.0,0.0,-0.17370788509277826,0.39109869660128993,0.0,0.0,0.0,0.0,0.0,0.0,0.05753564865395273,-0.4685226562562567,0.0,-0.248433606832829,0.0,0.0,0.0,0.0,0.0,0.0,-0.240407955127722,0.0,0.2724868962092398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026656039079278084,0.0,0.0,0.0,0.0,0.0,0.0,-0.33389259668377747,0.0,0.0,0.050737496328253244,0.0,0.0,0.0,0.0,0.27124400121683023,0.0,0.0,0.0,0.0,0.056667704658654595,-0.29700432894519396,-0.08493101351790192,0.09558802782493697,0.0,0.0,0.15627432887343382,0.0,0.0,-0.47380481381067874,0.0,0.0,0.0,0.0,0.2562963779397636,0.0,0.0,0.0,0.0,0.053158287852913544,0.0,0.03420416302866705,-0.4432901661861998,0.0,0.029836428894521438,0.0,0.0901863855733496,0.0,-0.06368358993314864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.310004085070406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43220646938419927,0.0,0.9052673302439573,-0.15590087996364937,0.0,0.12885852474954518,0.0,0.0,0.0,0.0,0.20577904239596093,0.0,0.0,0.0,0.0,-0.4709876223084304,0.035571432043069486,0.24340826995827472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47077375569122876,0.0,0.0,0.0,0.0,0.0,-0.01580403774150359,0.0,0.0,0.0,0.0,0.0,-0.043317765946810846,0.0,0.0,0.0,0.0,0.0,0.0,0.46514113441626403,0.0,0.0,0.019451646970636803,0.0,0.0,0.0,0.0,0.0,-0.1705476659637296,0.0,0.0,0.0,0.08983490195300974,0.08956381659407334,0.19714299140451325,0.0,0.0,0.0,0.0,0.0,0.3787526660607803,0.5579249455263955,0.19513664793288474,0.14947227767210666,0.0,0.0,0.0,0.0,0.0,-0.0776242323817566,0.0,0.0,0.0,-0.1505583464660968,0.0,0.0,0.0,0.09101449480853273,0.0,-0.408017769270349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10955071118806563,-0.2881436653478354,0.0,0.0,-0.2382885197911507,-0.033723641958613645,0.0,0.0,0.0,0.0,0.12155018425716818
